display_name,entity_type,Degree,Closeness,Betweenness,route_count,platform_stop_count
Pape Ave at O'Connor Dr,street_stop,0.00037243947858473,0.03939019173151088,0.00032029760313797764,4,1
O'Connor Dr at Hopedale Ave,street_stop,0.00037243947858473,0.04091070895209916,0.005515723209657342,3,1
Broadview Ave at Don Valley Dr,street_stop,0.00024829298572315333,0.042615782450730624,0.0055701856513293655,3,1
Broadview Ave at Cosburn Ave South Side,street_stop,0.0006207324643078833,0.04449179626205915,0.016203372780563746,6,1
Broadview Ave at Hillside Dr,street_stop,0.00024829298572315333,0.0426022387973799,0.0031382908677036973,5,1
Broadview Ave at Pottery Rd South Side,street_stop,0.00037243947858473,0.04086767918291995,0.0030191989051178186,6,1
Broadview Ave at Chester Hill Rd,street_stop,0.00024829298572315333,0.04063149517188049,5.222620468293594e-06,6,1
876 Broadview Ave,street_stop,0.00024829298572315333,0.04205404576779436,0.00011254958662262,6,1
Broadview Ave at Pretoria Ave,street_stop,0.0006207324643078833,0.04389447686999614,0.00023531719875096582,6,1
Overlea Blvd at Millwood Rd East Side,street_stop,0.00037243947858473,0.04042177974978889,0.0022628299001046337,4,1
Overlea Blvd at Leaside Park Dr East Side,street_stop,0.00024829298572315333,0.041688502466030564,0.0016298058639145348,4,1
Overlea Blvd at Thorncliffe Park Dr (West),street_stop,0.0006207324643078833,0.04347428985694379,0.011794029711806708,5,1
Overlea Blvd at East York Town Centre (East Side),street_stop,0.00024829298572315333,0.04227442075336909,0.0,1,1
Overlea Blvd at Thorncliffe Park Dr (East),street_stop,0.0004965859714463067,0.04309460377030017,0.009191460478106506,2,1
Overlea Blvd at William Morgan Dr,street_stop,0.0004965859714463067,0.0424041358601489,0.0006770852352220442,4,1
Gateway Blvd South Side at Don Mills Rd East Side,street_stop,0.00024829298572315333,0.040685962360693745,0.0004137672255734521,3,1
Gateway Blvd at Sunny Glenway (West),street_stop,0.00024829298572315333,0.04013615480218243,0.00037325226617524024,3,1
Gateway Blvd South Side at Grenoble Dr South Side,street_stop,0.0004965859714463067,0.040783751764727844,0.0022121745344151,3,1
Grenoble Dr at Spanbridge Rd North Side,street_stop,0.00024829298572315333,0.03918695264375968,8.21877219461124e-05,1,1
Grenoble Dr at Vendome Pl West Side,street_stop,0.00024829298572315333,0.03841398276445714,0.00018053640337686747,1,1
Grenoble Dr at Grenoble Dr,street_stop,0.00024829298572315333,0.03916214799745708,0.0002221783163730336,1,1
Deauville Lane at St Dennis Dr,street_stop,0.0004965859714463067,0.04075667860502956,0.00047532590627392854,2,1
St Dennis Dr at Linkwood Lane,street_stop,0.00024829298572315333,0.040026895935472,0.00026172212708556173,1,1
